Type,Player,Team,Details
Added,冨安 健洋,アーセナル,
Added,三笘 薫,ブライトン・アンド・ホーヴ・アルビオン,
Added,鎌田 大地,クリスタル・パレス,
Added,遠藤 航,リヴァプール,
Added,菅原 由勢,サウサンプトン,
Added,高岡 伶颯,サウサンプトン,
Added,大橋 祐紀,ブラックバーン・ローバーズ,
Added,平河 悠,ブリストル・シティFC,
Added,坂元 達裕,コベントリー・シティFC,
Added,田中 碧,リーズ・ユナイテッド,
Added,橋岡 大樹,ルートン・タウンFC,
Added,斉藤 光毅,クイーンズパーク・レンジャーズ,
Added,初瀬 亮,シェフィールド・ウェンズデイ,
Added,瀬古 樹,ストーク・シティ,
Added,鈴木 彩艶,パルマ,
Added,浅野 拓磨,マジョルカ,
Added,久保 建英,レアル・ソシエダ,
Added,伊藤 洋輝,バイエルン・ミュンヘン,
Added,三好 康児,ボーフム,
Added,堂安 律,フライブルク,
Added,町野 修斗,ホルシュタイン・キール,
Added,佐野 海舟,1.FSVマインツ05,
Added,板倉 滉,PSVアイントホーフェン,
Added,福田 師王,PSVアイントホーフェン,
Added,チェイス・アンリ,シュトゥットガルト,
Added,アペルカンプ 真大,PSVアイントホーフェン,
Added,松田 隼風,PSVアイントホーフェン,
Added,室屋 成,PSVアイントホーフェン,
Added,横田 大祐,PSVアイントホーフェン,
Added,毎熊 晟矢,AZアルクマール,
Added,上田 綺世,フェイエノールト,
Added,小川 航基,NECナイメヘン,
Added,佐野 航大,NECナイメヘン,
Added,塩貝 健人,NECナイメヘン,
Added,三戸 舜介,スパルタ・ロッテルダム,
Added,オナイウ 阿道,AJオセール,
Added,南野 拓実,ASモナコ,
Added,伊東 純也,スタッド・ランス,
Added,関根 大輝,スタッド・ランス,
Added,中村 敬斗,スタッド・ランス,
Added,古橋 亨梧,スタッド・レンヌ,
Added,福井 太智,アロウカ,
Added,藤本 寛也,ジル・ビセンテ,
Added,山田 楓喜,ナシオナル,
Added,守田 英正,スポルティング,
Added,後藤 啓介,PSVアイントホーフェン,
Added,伊藤 敦樹,PSVアイントホーフェン,
Added,渡辺 剛,PSVアイントホーフェン,
Added,角田 涼太朗,PSVアイントホーフェン,
Added,藤井 陽也,PSVアイントホーフェン,
Added,明本 考浩,PSVアイントホーフェン,
Added,大畑 歩夢,PSVアイントホーフェン,
Added,大南 拓磨,PSVアイントホーフェン,
Added,伊藤 涼太郎,PSVアイントホーフェン,
Added,小川 諒也,PSVアイントホーフェン,
Added,小久保 玲央ブライアン,PSVアイントホーフェン,
Added,小森 飛絢,PSVアイントホーフェン,
Added,谷口 彰悟,PSVアイントホーフェン,
Added,藤田 譲瑠チマ,PSVアイントホーフェン,
Added,山本 理仁,PSVアイントホーフェン,
Added,町田 浩樹,PSVアイントホーフェン,
Added,坂本 一彩,PSVアイントホーフェン,
Added,旗手 怜央,PSVアイントホーフェン,
Added,前田 大然,PSVアイントホーフェン,
